make_name,model_name,year,price,daysonmarket,holding_cost,inventory_age_group
Mitsubishi,Mirage G4,2020,18000.0,140,5600,Trap
Volkswagen,Jetta GLI,2020,26049.0,41,1640,Standard
Ford,Escape,2020,25890.0,57,2280,Standard
Kia,Sportage,2021,25730.0,7,280,Fresh
Toyota,Tacoma,2020,33738.0,0,0,Fresh
Hyundai,Santa Fe Sport,2013,12570.0,36,1440,Standard
Mazda,CX-5,2020,31523.0,0,0,Fresh
Ford,Escape,2020,38798.0,46,1840,Standard
Jeep,Liberty,2005,6850.0,21,840,Fresh
GMC,Sierra 1500,2018,48950.0,421,16840,Trap
Audi,Q7,2021,60955.0,0,0,Fresh
Cadillac,CTS,2018,47995.0,253,10120,Trap
Chevrolet,Silverado 1500,2020,55845.0,63,2520,Slow
Chevrolet,Colorado,2021,29568.0,5,200,Fresh
Ford,F-550 Super Duty Chassis,2020,44425.0,71,2840,Slow
Chevrolet,Silverado 2500HD,2020,39930.0,14,560,Fresh
Dodge,Grand Caravan,2015,11999.0,395,15800,Trap
Chevrolet,Traverse,2020,25867.0,20,800,Fresh
RAM,2500,2020,71265.0,56,2240,Standard
Jeep,Gladiator,2020,48900.0,365,14600,Trap
Chevrolet,Traverse,2020,48784.0,246,9840,Trap
Toyota,Prius,2016,17000.0,44,1760,Standard
Jeep,Wrangler Unlimited,2020,44775.0,33,1320,Standard
Porsche,Boxster,2015,45508.0,5,200,Fresh
BMW,3 Series,2014,18884.0,33,1320,Standard
Ford,Ranger,2011,6999.0,20,800,Fresh
Hyundai,Tucson,2016,12900.0,43,1720,Standard
Ford,Fusion,2020,21210.0,165,6600,Trap
Kia,Sorento,2017,18000.0,3,120,Fresh
GMC,Yukon,2021,69345.0,52,2080,Standard
Ford,Mustang,2015,20599.0,31,1240,Standard
Nissan,Sentra,2019,14399.0,29,1160,Fresh
Mercedes-Benz,C-Class,2015,22326.0,11,440,Fresh
Ford,Focus,2006,2696.0,9,360,Fresh
RAM,1500,2020,45525.0,19,760,Fresh
Mazda,CX-5,2020,30705.0,4,160,Fresh
Ford,Expedition,2011,15999.0,22,880,Fresh
Dodge,Journey,2019,17197.0,3,120,Fresh
Honda,Civic,2020,20355.0,176,7040,Trap
Ford,Mustang Shelby GT500,2008,31999.0,41,1640,Standard
Chevrolet,Equinox,2020,18869.0,41,1640,Standard
GMC,Acadia,2007,4495.0,103,4120,Trap
Hyundai,Ioniq Hybrid,2020,26888.0,246,9840,Trap
Jeep,Gladiator,2020,53463.0,248,9920,Trap
RAM,1500,2021,48645.0,1,40,Fresh
Jeep,Wrangler Unlimited,2018,34270.0,3,120,Fresh
Ford,Edge,2018,29950.0,23,920,Fresh
Jeep,Cherokee,2019,23797.0,64,2560,Slow
Ford,F-150,2018,32000.0,4,160,Fresh
Nissan,Altima,2020,31264.0,204,8160,Trap
Buick,Encore,2021,25900.0,42,1680,Standard
Nissan,Rogue,2020,28490.0,61,2440,Slow
Kia,Soul,2016,14998.0,32,1280,Standard
Jeep,Compass,2021,31422.0,0,0,Fresh
MINI,Cooper,2010,6995.0,13,520,Fresh
Lexus,RX Hybrid,2017,45095.0,13,520,Fresh
Buick,Enclave,2020,41357.0,32,1280,Standard
Lincoln,Aviator,2020,81100.0,21,840,Fresh
Lincoln,Corsair,2020,43207.0,14,560,Fresh
Chevrolet,Cruze,2017,14990.0,14,560,Fresh
Jeep,Wrangler Unlimited,2015,31995.0,23,920,Fresh
Maserati,GranTurismo,2009,32555.0,588,23520,Trap
Nissan,Rogue,2020,22069.0,44,1760,Standard
BMW,5 Series,2017,34995.0,23,920,Fresh
Ford,EcoSport,2020,23141.0,130,5200,Trap
Honda,Accord,2020,22944.0,78,3120,Slow
